dep_code;year;deaths
53;2015;3048
53;2016;3100
53;2017;3045
53;2018;3006
53;2019;3132
53;2020;3370
53;2021;3217
54;2012;6474
54;2013;6430
54;2014;6232
54;2015;6618
54;2016;6648
54;2017;6700
54;2018;6681
54;2019;6701
54;2020;7625
54;2021;7388
55;2012;2002
55;2013;1999
55;2014;1923
55;2015;2099
55;2016;2113
55;2017;2011
55;2018;2077
55;2019;2148
55;2020;2461
55;2021;2234
56;2012;7763
56;2013;7906
56;2014;7637
56;2015;8178
56;2016;8315
56;2017;8363
56;2018;8517
56;2019;8701
56;2020;8759
56;2021;9134
57;2012;9304
57;2013;9466
57;2014;9271
57;2015;9837
57;2016;9713
57;2017;10057
57;2018;10303
57;2019;10282
57;2020;11580
57;2021;11144
58;2012;3003
58;2013;2936
58;2014;2907
58;2015;2965
58;2016;2995
58;2017;3145
58;2018;3053
58;2019;2993
58;2020;3182
58;2021;3232
59;2012;22492
59;2013;22414
59;2014;21589
59;2015;22740
59;2016;22381
59;2017;22628
59;2018;22923
59;2019;22594
59;2020;25137
59;2021;24765
60;2012;6337
60;2013;6353
60;2014;6181
60;2015;6580
60;2016;6658
60;2017;6782
60;2018;6697
60;2019;6687
60;2020;7711
60;2021;7415
61;2012;3359
61;2013;3316
61;2014;3298
61;2015;3285
61;2016;3359
61;2017;3309
61;2018;3491
61;2019;3577
61;2020;3716
61;2021;3803
62;2012;14535
62;2013;14671
62;2014;13826
62;2015;14616
62;2016;14663
62;2017;14874
62;2018;15257
62;2019;14597
62;2020;15947
62;2021;16027
63;2012;6256
63;2013;6114
63;2014;5996
63;2015;6304
63;2016;6320
63;2017;6575
63;2018;6439
63;2019;6611
63;2020;7055
63;2021;6951
64;2012;6840
64;2013;6781
64;2014;6718
64;2015;7063
64;2016;7008
64;2017;7329
64;2018;7338
64;2019;7243
64;2020;7549
64;2021;7513
65;2012;2828
65;2013;2712
65;2014;2678
65;2015;2842
65;2016;2827
65;2017;2810
65;2018;2953
65;2019;2864
65;2020;3093
65;2021;3098
66;2012;5248
66;2013;5131
66;2014;5111
66;2015;5514
66;2016;5455
66;2017;5699
66;2018;5890
66;2019;5746
66;2020;6007
66;2021;6342
67;2012;8601
67;2013;8820
67;2014;8660
67;2015;9215
67;2016;9081
67;2017;9341
67;2018;9672
67;2019;9519
67;2020;10785
67;2021;10215
68;2012;6284
68;2013;6466
68;2014;6266
68;2015;6697
68;2016;6632
68;2017;6808
68;2018;6986
68;2019;6881
68;2020;8451
68;2021;7207
69;2012;12313
69;2013;12236
69;2014;11934
69;2015;12911
69;2016;12796
69;2017;13142
69;2018;12967
69;2019;13252
69;2020;15604
69;2021;14157
70;2012;2317
70;2013;2336
70;2014;2331
70;2015;2438
70;2016;2557
70;2017;2573
70;2018;2468
70;2019;2478
70;2020;2866
70;2021;2673
71;2012;6071
71;2013;6275
71;2014;6037
71;2015;6569
71;2016;6487
71;2017;6555
71;2018;6451
71;2019;6638
71;2020;7402
71;2021;6879
72;2012;5493
72;2013;5444
72;2014;5277
72;2015;5664
72;2016;5445
72;2017;5812
72;2018;5704
72;2019;5699
72;2020;6002
72;2021;6254
73;2012;3438
73;2013;3428
73;2014;3334
73;2015;3736
73;2016;3630
73;2017;3783
73;2018;3857
73;2019;3894
73;2020;4718
73;2021;4001
74;2012;5093
74;2013;5057
74;2014;5166
74;2015;5476
74;2016;5520
74;2017;5549
74;2018;5474
74;2019;5709
74;2020;6889
74;2021;6191
75;2012;14114
75;2013;13939
75;2014;13487
75;2015;13997
75;2016;14056
75;2017;14226
75;2018;13888
75;2019;13805
75;2020;16351
75;2021;14628
76;2012;11375
76;2013;11515
76;2014;11298
76;2015;12042
76;2016;11900
76;2017;11998
76;2018;12301
76;2019;12300
76;2020;13160
76;2021;12957
77;2012;8667
77;2013;8570
77;2014;8490
77;2015;9088
77;2016;9134
77;2017;9174
77;2018;9315
77;2019;9244
77;2020;10853
77;2021;10204
78;2012;8655
78;2013;8555
78;2014;8433
78;2015;8935
78;2016;9062
78;2017;9102
78;2018;9201
78;2019;9374
78;2020;11082
78;2021;10013
79;2012;3801
79;2013;3990
79;2014;3666
79;2015;3872
79;2016;3978
79;2017;4130
79;2018;4116
79;2019;4022
79;2020;4200
79;2021;4552
80;2012;5613
80;2013;5566
80;2014;5409
80;2015;5721
80;2016;5822
80;2017;5683
80;2018;5774
80;2019;5934
80;2020;6391
80;2021;6097
81;2012;4095
81;2013;4058
81;2014;4015
81;2015;4245
81;2016;4175
81;2017;4494
81;2018;4562
81;2019;4441
81;2020;4537
81;2021;4826
82;2012;2461
82;2013;2498
82;2014;2440
82;2015;2633
82;2016;2589
82;2017;2772
82;2018;2667
82;2019;2718
82;2020;2844
82;2021;2859
83;2012;10948
83;2013;10783
83;2014;10735
83;2015;11401
83;2016;11590
