dep_code;year;panel;bdm;diff;status
37;2020;7.2;7.2;0.0;EXACT
37;2021;6.8;6.9;0.1;WITHIN_0.1
38;2012;8.1;8.0;0.1;WITHIN_0.1
38;2013;8.3;8.3;0.0;EXACT
38;2014;8.2;8.3;0.1;WITHIN_0.1
38;2015;8.6;8.6;0.0;EXACT
38;2016;8.4;8.4;0.0;EXACT
38;2017;7.8;7.8;0.0;EXACT
38;2018;7.3;7.4;0.1;WITHIN_0.1
38;2019;6.9;6.9;0.0;EXACT
38;2020;6.6;6.6;0.0;EXACT
38;2021;6.5;6.5;0.0;EXACT
39;2012;7.1;7.1;0.0;EXACT
39;2013;7.6;7.6;0.0;EXACT
39;2014;7.5;7.6;0.1;WITHIN_0.1
39;2015;7.8;7.7;0.1;WITHIN_0.1
39;2016;7.5;7.5;0.0;EXACT
39;2017;6.8;6.8;0.0;EXACT
39;2018;6.4;6.4;0.0;EXACT
39;2019;6.1;6.1;0.0;EXACT
39;2020;5.8;5.8;0.0;EXACT
39;2021;5.4;5.4;0.0;EXACT
40;2012;8.8;8.8;0.0;EXACT
40;2013;9.4;9.4;0.0;EXACT
40;2014;9.4;9.4;0.0;EXACT
40;2015;9.6;9.6;0.0;EXACT
40;2016;9.4;9.4;0.0;EXACT
40;2017;9.0;9.0;0.0;EXACT
40;2018;8.5;8.5;0.0;EXACT
40;2019;8.0;8.0;0.0;EXACT
40;2020;7.7;7.7;0.0;EXACT
40;2021;7.5;7.5;0.0;EXACT
41;2012;8.4;8.4;0.0;EXACT
41;2013;9.1;9.1;0.0;EXACT
41;2014;9.0;9.0;0.0;EXACT
41;2015;9.0;9.0;0.0;EXACT
41;2016;8.7;8.7;0.0;EXACT
41;2017;8.0;8.0;0.0;EXACT
41;2018;7.7;7.7;0.0;EXACT
41;2019;7.2;7.1;0.1;WITHIN_0.1
41;2020;6.6;6.6;0.0;EXACT
41;2021;6.4;6.4;0.0;EXACT
42;2012;9.5;9.5;0.0;EXACT
42;2013;10.1;10.1;0.0;EXACT
42;2014;10.0;10.0;0.0;EXACT
42;2015;10.2;10.2;0.0;EXACT
42;2016;9.9;10.0;0.1;WITHIN_0.1
42;2017;9.2;9.2;0.0;EXACT
42;2018;8.7;8.7;0.0;EXACT
42;2019;8.2;8.3;0.1;WITHIN_0.1
42;2020;7.9;7.9;0.0;EXACT
42;2021;7.6;7.6;0.0;EXACT
43;2012;7.9;7.9;0.0;EXACT
43;2013;8.5;8.5;0.0;EXACT
43;2014;8.4;8.4;0.0;EXACT
43;2015;8.4;8.4;0.0;EXACT
43;2016;8.2;8.3;0.1;WITHIN_0.1
43;2017;7.4;7.4;0.0;EXACT
43;2018;7.0;7.1;0.1;WITHIN_0.1
43;2019;6.6;6.6;0.0;EXACT
43;2020;6.2;6.3;0.1;WITHIN_0.1
43;2021;6.0;6.0;0.0;EXACT
44;2012;8.0;8.0;0.0;EXACT
44;2013;8.5;8.5;0.0;EXACT
44;2014;8.7;8.7;0.0;EXACT
44;2015;8.8;8.8;0.0;EXACT
44;2016;8.3;8.3;0.0;EXACT
44;2017;7.5;7.6;0.1;WITHIN_0.1
44;2018;7.2;7.2;0.0;EXACT
44;2019;6.8;6.8;0.0;EXACT
44;2020;6.8;6.9;0.1;WITHIN_0.1
44;2021;6.4;6.4;0.0;EXACT
45;2012;9.2;9.2;0.0;EXACT
45;2013;9.8;9.8;0.0;EXACT
45;2014;10.0;10.0;0.0;EXACT
45;2015;10.1;10.1;0.0;EXACT
45;2016;9.9;9.9;0.0;EXACT
45;2017;9.1;9.0;0.1;WITHIN_0.1
45;2018;8.7;8.7;0.0;EXACT
45;2019;8.4;8.4;0.0;EXACT
45;2020;7.6;7.6;0.0;EXACT
45;2021;7.3;7.3;0.0;EXACT
46;2012;9.2;9.2;0.0;EXACT
46;2013;9.5;9.5;0.0;EXACT
46;2014;9.2;9.2;0.0;EXACT
46;2015;9.2;9.2;0.0;EXACT
46;2016;9.1;9.1;0.0;EXACT
46;2017;8.8;8.8;0.0;EXACT
46;2018;8.6;8.6;0.0;EXACT
46;2019;8.3;8.3;0.0;EXACT
46;2020;8.0;7.9;0.1;WITHIN_0.1
46;2021;7.8;7.8;0.0;EXACT
47;2012;9.7;9.7;0.0;EXACT
47;2013;10.0;10.0;0.0;EXACT
47;2014;10.0;10.0;0.0;EXACT
47;2015;10.3;10.3;0.0;EXACT
47;2016;10.2;10.2;0.0;EXACT
47;2017;9.2;9.3;0.1;WITHIN_0.1
47;2018;8.9;8.9;0.0;EXACT
47;2019;8.6;8.6;0.0;EXACT
47;2020;7.9;7.9;0.0;EXACT
47;2021;7.9;7.9;0.0;EXACT
48;2012;5.7;5.7;0.0;EXACT
48;2013;6.1;6.1;0.0;EXACT
48;2014;6.0;6.0;0.0;EXACT
48;2015;6.5;6.5;0.0;EXACT
48;2016;6.3;6.3;0.0;EXACT
48;2017;6.0;6.0;0.0;EXACT
48;2018;5.8;5.7;0.1;WITHIN_0.1
48;2019;5.4;5.4;0.0;EXACT
48;2020;5.2;5.2;0.0;EXACT
48;2021;5.0;5.0;0.0;EXACT
49;2012;8.6;8.6;0.0;EXACT
49;2013;9.2;9.2;0.0;EXACT
49;2014;9.3;9.3;0.0;EXACT
49;2015;9.6;9.6;0.0;EXACT
49;2016;9.2;9.3;0.1;WITHIN_0.1
49;2017;8.5;8.5;0.0;EXACT
49;2018;8.1;8.1;0.0;EXACT
49;2019;7.6;7.7;0.1;WITHIN_0.1
49;2020;7.5;7.5;0.0;EXACT
49;2021;7.0;7.0;0.0;EXACT
50;2012;8.0;8.0;0.0;EXACT
50;2013;8.4;8.4;0.0;EXACT
50;2014;8.3;8.3;0.0;EXACT
50;2015;8.3;8.3;0.0;EXACT
50;2016;8.0;8.0;0.0;EXACT
50;2017;7.2;7.2;0.0;EXACT
50;2018;6.8;6.7;0.1;WITHIN_0.1
50;2019;6.1;6.1;0.0;EXACT
50;2020;6.0;6.0;0.0;EXACT
50;2021;5.5;5.5;0.0;EXACT
51;2012;9.2;9.3;0.1;WITHIN_0.1
51;2013;10.1;10.1;0.0;EXACT
