dep_code;year;marriages
80;2013;1914
80;2014;1926
80;2015;1812
80;2016;1813
80;2017;1873
80;2018;1975
80;2019;1758
80;2020;1117
80;2021;1548
81;2012;1212
81;2013;1309
81;2014;1267
81;2015;1277
81;2016;1298
81;2017;1230
81;2018;1326
81;2019;1192
81;2020;872
81;2021;1141
82;2012;874
82;2013;840
82;2014;911
82;2015;889
82;2016;904
82;2017;888
82;2018;904
82;2019;906
82;2020;566
82;2021;859
83;2012;4217
83;2013;3996
83;2014;4244
83;2015;4382
83;2016;4230
83;2017;4193
83;2018;4341
83;2019;4204
83;2020;3056
83;2021;4174
84;2012;2369
84;2013;2382
84;2014;2337
84;2015;2308
84;2016;2325
84;2017;2271
84;2018;2261
84;2019;2163
84;2020;1553
84;2021;2213
85;2012;2617
85;2013;2294
85;2014;2469
85;2015;2453
85;2016;2339
85;2017;2418
85;2018;2436
85;2019;2264
85;2020;1501
85;2021;2370
86;2012;1512
86;2013;1366
86;2014;1452
86;2015;1391
86;2016;1328
86;2017;1270
86;2018;1340
86;2019;1307
86;2020;804
86;2021;1145
87;2012;1157
87;2013;1090
87;2014;1174
87;2015;1114
87;2016;1088
87;2017;1114
87;2018;1129
87;2019;1068
87;2020;772
87;2021;998
88;2012;1397
88;2013;1235
88;2014;1193
88;2015;1296
88;2016;1264
88;2017;1230
88;2018;1155
88;2019;1190
88;2020;734
88;2021;1035
89;2012;1264
89;2013;1257
89;2014;1230
89;2015;1263
89;2016;1190
89;2017;1249
89;2018;1109
89;2019;1175
89;2020;721
89;2021;1068
90;2012;497
90;2013;509
90;2014;498
90;2015;497
90;2016;529
90;2017;536
90;2018;483
90;2019;490
90;2020;317
90;2021;490
91;2012;4365
91;2013;4232
91;2014;4403
91;2015;4155
91;2016;4296
91;2017;4160
91;2018;4203
91;2019;3978
91;2020;2965
91;2021;4218
92;2012;5696
92;2013;5673
92;2014;5734
92;2015;5844
92;2016;5367
92;2017;5494
92;2018;5391
92;2019;5471
92;2020;4112
92;2021;5645
93;2012;5657
93;2013;5434
93;2014;5824
93;2015;5858
93;2016;5974
93;2017;5832
93;2018;5747
93;2019;5387
93;2020;3666
93;2021;5191
94;2012;4867
94;2013;4812
94;2014;4891
94;2015;4915
94;2016;4800
94;2017;4828
94;2018;4705
94;2019;4510
94;2020;3425
94;2021;4707
95;2012;4394
95;2013;4174
95;2014;4480
95;2015;4427
95;2016;4404
95;2017;4611
95;2018;4562
95;2019;4371
95;2020;3085
95;2021;4469
