dep_code;year;n_doctors;doctor_density_per_100k;pop_jan1;density_check;rel_diff_pct
40;2021;1238;292.690000;422976;292.688001;-0.000683
41;2012;814;245.440000;331656;245.435029;-0.002025
41;2013;821;247.290000;332001;247.288412;-0.000642
41;2014;817;244.930000;333567;244.928305;-0.000692
41;2015;808;242.610000;333050;242.606215;-0.001560
41;2016;799;240.110000;332769;240.106500;-0.001458
41;2017;806;242.830000;331915;242.833256;0.001341
41;2018;802;242.850000;330248;242.847799;-0.000906
41;2019;787;238.870000;329470;238.868486;-0.000634
41;2020;779;236.520000;329357;236.521465;0.000619
41;2021;771;234.700000;328504;234.700339;0.000144
42;2012;2461;326.500000;753763;326.495198;-0.001471
42;2013;2511;331.830000;756715;331.829024;-0.000294
42;2014;2552;336.980000;757305;336.984438;0.001317
42;2015;2505;329.860000;759411;329.860905;0.000274
42;2016;2503;328.480000;761997;328.478984;-0.000309
42;2017;2455;321.780000;762941;321.781108;0.000344
42;2018;2486;325.630000;763441;325.630926;0.000284
42;2019;2506;327.310000;765634;327.310438;0.000134
42;2020;2544;331.030000;768508;331.031037;0.000313
42;2021;2523;328.080000;769029;328.076054;-0.001203
43;2012;471;208.700000;225686;208.697039;-0.001419
43;2013;470;207.780000;226203;207.777969;-0.000977
43;2014;479;211.420000;226565;211.418357;-0.000777
43;2015;486;214.060000;227034;214.064854;0.002267
43;2016;493;216.860000;227339;216.856765;-0.001492
43;2017;560;246.390000;227283;246.388863;-0.000461
43;2018;566;248.730000;227552;248.734355;0.001751
43;2019;574;252.230000;227570;252.230083;0.000033
43;2020;561;246.610000;227489;246.605330;-0.001894
43;2021;563;247.710000;227284;247.707714;-0.000923
44;2012;4312;328.330000;1313321;328.327956;-0.000622
44;2013;4359;328.080000;1328620;328.084780;0.001457
44;2014;4454;330.760000;1346592;330.760913;0.000276
44;2015;4548;333.130000;1365227;333.131413;0.000424
44;2016;4585;332.040000;1380852;332.041377;0.000415
44;2017;4652;333.500000;1394909;333.498458;-0.000462
44;2018;4726;334.580000;1412502;334.583597;0.001075
44;2019;4796;335.560000;1429272;335.555444;-0.001358
44;2020;4946;342.240000;1445171;342.243236;0.000946
44;2021;5079;348.400000;1457806;348.400267;0.000077
45;2012;1632;246.420000;662297;246.415128;-0.001977
45;2013;1628;244.600000;665587;244.596123;-0.001585
45;2014;1671;249.500000;669737;249.500923;0.000370
45;2015;1704;253.060000;673349;253.063419;0.001351
45;2016;1686;250.030000;674330;250.025952;-0.001619
45;2017;1687;248.780000;678105;248.781531;0.000615
45;2018;1649;242.910000;678845;242.912594;0.001068
45;2019;1594;234.260000;680434;234.262250;0.000961
45;2020;1587;232.590000;682304;232.594269;0.001835
45;2021;1583;231.240000;684561;231.243089;0.001336
46;2012;496;284.490000;174346;284.491758;0.000618
46;2013;487;280.270000;173758;280.274865;0.001736
46;2014;499;287.360000;173648;287.362941;0.001023
46;2015;498;287.200000;173400;287.197232;-0.000964
46;2016;498;287.290000;173347;287.285041;-0.001726
46;2017;487;280.160000;173828;280.161999;0.000714
46;2018;461;265.050000;173929;265.050682;0.000257
46;2019;466;267.670000;174094;267.671488;0.000556
46;2020;467;267.360000;174670;267.361310;0.000490
46;2021;469;268.090000;174942;268.088852;-0.000428
47;2012;861;259.240000;332119;259.244427;0.001708
47;2013;845;253.620000;333180;253.616664;-0.001315
47;2014;846;253.880000;333234;253.875655;-0.001711
47;2015;855;256.440000;333417;256.435635;-0.001702
47;2016;849;255.080000;332833;255.082879;0.001129
47;2017;838;251.770000;332842;251.771111;0.000441
47;2018;830;250.020000;331970;250.022592;0.001037
47;2019;820;247.530000;331271;247.531477;0.000597
47;2020;826;249.660000;330844;249.664494;0.001800
47;2021;823;248.470000;331229;248.468582;-0.000571
48;2012;191;248.410000;76889;248.410046;0.000018
48;2013;196;255.850000;76607;255.851293;0.000505
48;2014;193;252.750000;76360;252.750131;0.000052
48;2015;185;242.440000;76309;242.435361;-0.001913
48;2016;193;252.550000;76422;252.545079;-0.001949
48;2017;192;250.650000;76601;250.649469;-0.000212
48;2018;189;246.990000;76520;246.994250;0.001721
48;2019;189;246.720000;76604;246.723409;0.001382
48;2020;188;245.330000;76633;245.325121;-0.001989
48;2021;191;249.610000;76519;249.611208;0.000484
49;2012;2415;303.560000;795557;303.560901;0.000297
49;2013;2458;307.180000;800191;307.176662;-0.001087
49;2014;2465;305.870000;805888;305.873769;0.001232
49;2015;2530;312.270000;810186;312.273972;0.001272
49;2016;2570;316.920000;810934;316.918516;-0.000468
49;2017;2616;321.580000;813493;321.576215;-0.001177
49;2018;2623;321.490000;815883;321.492175;0.000676
49;2019;2617;319.820000;818273;319.819913;-0.000027
49;2020;2731;332.760000;820713;332.759442;-0.000168
49;2021;2777;336.710000;824743;336.710951;0.000282
50;2012;1242;248.730000;499340;248.728321;-0.000675
50;2013;1244;248.840000;499919;248.840312;0.000125
50;2014;1260;252.020000;499958;252.021170;0.000464
50;2015;1270;254.360000;499287;254.362721;0.001070
50;2016;1284;257.640000;498362;257.644042;0.001569
50;2017;1267;254.990000;496883;254.989605;-0.000155
50;2018;1250;252.020000;495983;252.024767;0.001892
50;2019;1235;249.470000;495045;249.472270;0.000910
50;2020;1253;253.080000;495093;253.083764;0.001487
50;2021;1226;247.420000;495508;247.422847;0.001151
51;2012;1910;335.820000;568750;335.824176;0.001243
51;2013;1896;332.630000;569999;332.632163;0.000650
51;2014;1928;337.760000;570817;337.761489;0.000441
51;2015;1936;338.290000;572293;338.288254;-0.000516
51;2016;1924;337.020000;570883;337.021772;0.000526
51;2017;1920;337.500000;568895;337.496375;-0.001074
51;2018;1910;336.590000;567462;336.586415;-0.001065
51;2019;1947;343.470000;566855;343.474081;0.001188
51;2020;2007;354.180000;566659;354.181262;0.000356
51;2021;2010;355.570000;565292;355.568450;-0.000436
52;2012;458;251.460000;182136;251.460447;0.000178
52;2013;458;252.310000;181521;252.312405;0.000953
52;2014;474;262.350000;180673;262.352427;0.000925
52;2015;468;261.230000;179154;261.227771;-0.000853
52;2016;462;259.430000;178084;259.428135;-0.000719
52;2017;442;251.650000;175640;251.651105;0.000439
52;2018;439;252.200000;174069;252.198841;-0.000460
52;2019;426;246.940000;172512;246.939343;-0.000266
52;2020;422;245.640000;171798;245.637318;-0.001092
