"dep_code";"year";"edu_share_sup";"edu_is_interpolated"
"43";2015;21.96;True
"43";2016;22.57;False
"43";2017;23.24;True
"43";2018;23.91;True
"43";2019;24.59;True
"43";2020;25.26;True
"43";2021;25.93;True
"44";2012;28.94;True
"44";2013;29.92;True
"44";2014;30.91;True
"44";2015;31.89;True
"44";2016;32.87;False
"44";2017;33.8;True
"44";2018;34.73;True
"44";2019;35.66;True
"44";2020;36.6;True
"44";2021;37.53;True
"45";2012;23.85;True
"45";2013;24.5;True
"45";2014;25.14;True
"45";2015;25.79;True
"45";2016;26.44;False
"45";2017;27.01;True
"45";2018;27.59;True
"45";2019;28.16;True
"45";2020;28.73;True
"45";2021;29.31;True
"46";2012;21.64;True
"46";2013;22.3;True
"46";2014;22.95;True
"46";2015;23.61;True
"46";2016;24.26;False
"46";2017;24.95;True
"46";2018;25.64;True
"46";2019;26.33;True
"46";2020;27.02;True
"46";2021;27.71;True
"47";2012;19.03;True
"47";2013;19.57;True
"47";2014;20.11;True
"47";2015;20.65;True
"47";2016;21.19;False
"47";2017;21.74;True
"47";2018;22.29;True
"47";2019;22.84;True
"47";2020;23.4;True
"47";2021;23.95;True
"48";2012;22.93;True
"48";2013;23.51;True
"48";2014;24.08;True
"48";2015;24.66;True
"48";2016;25.24;False
"48";2017;25.75;True
"48";2018;26.26;True
"48";2019;26.77;True
"48";2020;27.29;True
"48";2021;27.8;True
"49";2012;23.07;True
"49";2013;23.69;True
"49";2014;24.32;True
"49";2015;24.94;True
"49";2016;25.57;False
"49";2017;26.34;True
"49";2018;27.12;True
"49";2019;27.89;True
"49";2020;28.67;True
"49";2021;29.45;True
"50";2012;17.97;True
"50";2013;18.51;True
"50";2014;19.06;True
"50";2015;19.6;True
"50";2016;20.15;False
"50";2017;20.81;True
"50";2018;21.46;True
"50";2019;22.12;True
"50";2020;22.78;True
"50";2021;23.43;True
"51";2012;22.67;True
"51";2013;23.36;True
"51";2014;24.05;True
"51";2015;24.74;True
"51";2016;25.43;False
"51";2017;26.01;True
"51";2018;26.6;True
"51";2019;27.18;True
"51";2020;27.76;True
"51";2021;28.35;True
"52";2012;15.24;True
"52";2013;15.73;True
"52";2014;16.23;True
"52";2015;16.72;True
"52";2016;17.21;False
"52";2017;17.6;True
"52";2018;17.98;True
"52";2019;18.37;True
"52";2020;18.76;True
"52";2021;19.14;True
"53";2012;18.69;True
"53";2013;19.24;True
"53";2014;19.78;True
"53";2015;20.33;True
"53";2016;20.88;False
"53";2017;21.45;True
"53";2018;22.02;True
"53";2019;22.59;True
"53";2020;23.15;True
"53";2021;23.72;True
"54";2012;24.65;True
"54";2013;25.25;True
"54";2014;25.84;True
"54";2015;26.44;True
"54";2016;27.03;False
"54";2017;27.65;True
"54";2018;28.28;True
"54";2019;28.9;True
"54";2020;29.52;True
"54";2021;30.15;True
"55";2012;16.62;True
"55";2013;17.17;True
"55";2014;17.73;True
"55";2015;18.28;True
"55";2016;18.84;False
"55";2017;19.31;True
"55";2018;19.78;True
"55";2019;20.25;True
"55";2020;20.72;True
"55";2021;21.19;True
"56";2012;22.79;True
"56";2013;23.52;True
"56";2014;24.26;True
"56";2015;24.99;True
"56";2016;25.72;False
"56";2017;26.52;True
"56";2018;27.31;True
"56";2019;28.11;True
"56";2020;28.91;True
"56";2021;29.7;True
"57";2012;21.64;True
"57";2013;22.34;True
"57";2014;23.04;True
"57";2015;23.74;True
"57";2016;24.44;False
"57";2017;25.11;True
"57";2018;25.79;True
"57";2019;26.46;True
"57";2020;27.13;True
"57";2021;27.81;True
"58";2012;16.38;True
"58";2013;16.9;True
"58";2014;17.41;True
"58";2015;17.93;True
"58";2016;18.45;False
"58";2017;18.96;True
"58";2018;19.46;True
"58";2019;19.97;True
"58";2020;20.48;True
"58";2021;20.98;True
"59";2012;24.34;True
"59";2013;25.05;True
"59";2014;25.75;True
"59";2015;26.46;True
"59";2016;27.16;False
"59";2017;27.82;True
"59";2018;28.49;True
"59";2019;29.16;True
"59";2020;29.82;True
"59";2021;30.48;True
"60";2012;22.11;True
"60";2013;22.72;True
"60";2014;23.33;True
"60";2015;23.94;True
"60";2016;24.55;False
"60";2017;25.1;True
"60";2018;25.65;True
"60";2019;26.2;True
"60";2020;26.75;True
"60";2021;27.3;True
"61";2012;16.24;True
"61";2013;16.6;True
"61";2014;16.95;True
"61";2015;17.31;True
"61";2016;17.67;False
"61";2017;18.16;True
"61";2018;18.65;True
"61";2019;19.14;True
"61";2020;19.62;True
"61";2021;20.11;True
"62";2012;18.14;True
"62";2013;18.68;True
"62";2014;19.21;True
"62";2015;19.75;True
"62";2016;20.28;False
"62";2017;20.85;True
"62";2018;21.42;True
"62";2019;21.98;True
"62";2020;22.55;True
"62";2021;23.12;True
"63";2012;25.28;True
"63";2013;26.04;True
"63";2014;26.79;True
"63";2015;27.55;True
"63";2016;28.31;False
"63";2017;29.0;True
"63";2018;29.7;True
"63";2019;30.39;True
"63";2020;31.08;True
"63";2021;31.78;True
"64";2012;27.09;True
"64";2013;27.87;True
"64";2014;28.65;True
"64";2015;29.43;True
"64";2016;30.21;False
"64";2017;30.97;True
"64";2018;31.74;True
"64";2019;32.5;True
"64";2020;33.26;True
"64";2021;34.03;True
"65";2012;21.98;True
"65";2013;22.54;True
"65";2014;23.1;True
"65";2015;23.66;True
"65";2016;24.22;False
"65";2017;24.75;True
"65";2018;25.27;True
"65";2019;25.8;True
"65";2020;26.33;True
"65";2021;26.85;True
"66";2012;21.62;True
"66";2013;22.2;True
"66";2014;22.78;True
