column_name;total_non_null;years_with_data;n_years
TR1PPAT13;96;[2013];1
TR1PPEN13_TR_DEC;96;[2013];1
TR1PPEN13_TR_DISP;96;[2013];1
TR1PPFAM13;96;[2013];1
TR1PPLOGT13;96;[2013];1
TR1PPMINI13;96;[2013];1
TR1PPSOC13;96;[2013];1
TR1PTSA13;96;[2013];1
TR1PTSAC13;96;[2013];1
TR2PAUT13;96;[2013];1
TR2PBEN13_TR_DEC;96;[2013];1
TR2PBEN13_TR_DISP;96;[2013];1
TR2PCHO13;96;[2013];1
TR2PIMPOT13;96;[2013];1
TR2PPAT13;96;[2013];1
TR2PPEN13_TR_DEC;96;[2013];1
TR2PPEN13_TR_DISP;96;[2013];1
TR2PPFAM13;96;[2013];1
TR2PPLOGT13;96;[2013];1
TR2PPMINI13;96;[2013];1
TR2PPSOC13;96;[2013];1
TR2PTSA13;96;[2013];1
TR2PTSAC13;96;[2013];1
TR3PAUT13;96;[2013];1
TR3PBEN13_TR_DEC;96;[2013];1
TR3PBEN13_TR_DISP;96;[2013];1
TR3PCHO13;96;[2013];1
TR3PIMPOT13;96;[2013];1
TR3PPAT13;96;[2013];1
TR3PPEN13_TR_DEC;96;[2013];1
TR3PPEN13_TR_DISP;96;[2013];1
TR3PPFAM13;96;[2013];1
TR3PPLOGT13;96;[2013];1
TR3PPMINI13;96;[2013];1
TR3PPSOC13;96;[2013];1
TR3PTSA13;96;[2013];1
TR3PTSAC13;96;[2013];1
TR4PAUT13;96;[2013];1
TR4PBEN13_TR_DEC;96;[2013];1
TR4PBEN13_TR_DISP;96;[2013];1
TR4PCHO13;96;[2013];1
TR4PIMPOT13;96;[2013];1
TR4PPAT13;96;[2013];1
TR4PPEN13_TR_DEC;96;[2013];1
TR4PPEN13_TR_DISP;96;[2013];1
TR4PPFAM13;96;[2013];1
TR4PPLOGT13;96;[2013];1
TR4PPMINI13;96;[2013];1
TR4PPSOC13;96;[2013];1
TR4PTSA13;96;[2013];1
TR4PTSAC13;96;[2013];1
TR5PAUT13;96;[2013];1
TR5PBEN13_TR_DEC;96;[2013];1
TR5PBEN13_TR_DISP;96;[2013];1
TR5PCHO13;96;[2013];1
TR5PIMPOT13;96;[2013];1
TR5PPAT13;96;[2013];1
TR5PPEN13_TR_DEC;96;[2013];1
TR5PPEN13_TR_DISP;96;[2013];1
TR5PPFAM13;96;[2013];1
TR5PPLOGT13;96;[2013];1
TR5PPMINI13;96;[2013];1
TR5PPSOC13;96;[2013];1
TR5PTSA13;96;[2013];1
TR5PTSAC13;96;[2013];1
TR6PAUT13;96;[2013];1
TR6PBEN13_TR_DEC;96;[2013];1
TR6PBEN13_TR_DISP;96;[2013];1
TR6PCHO13;96;[2013];1
TR6PIMPOT13;96;[2013];1
TR6PPAT13;96;[2013];1
TR6PPEN13_TR_DEC;96;[2013];1
TR6PPEN13_TR_DISP;96;[2013];1
TR6PPFAM13;96;[2013];1
TR6PPLOGT13;96;[2013];1
TR6PPMINI13;96;[2013];1
TR6PPSOC13;96;[2013];1
TR6PTSA13;96;[2013];1
TR6PTSAC13;96;[2013];1
TR7PAUT13;96;[2013];1
TR7PBEN13_TR_DEC;96;[2013];1
TR7PBEN13_TR_DISP;96;[2013];1
TR7PCHO13;96;[2013];1
TR7PIMPOT13;96;[2013];1
TR7PPAT13;96;[2013];1
TR7PPEN13_TR_DEC;96;[2013];1
TR7PPEN13_TR_DISP;96;[2013];1
TR7PPFAM13;96;[2013];1
TR7PPLOGT13;96;[2013];1
TR7PPMINI13;96;[2013];1
TR7PPSOC13;96;[2013];1
TR7PTSA13;96;[2013];1
TR7PTSAC13;96;[2013];1
TR8PAUT13;96;[2013];1
TR8PBEN13_TR_DEC;96;[2013];1
TR8PBEN13_TR_DISP;96;[2013];1
TR8PCHO13;96;[2013];1
TR8PIMPOT13;96;[2013];1
TR8PPAT13;96;[2013];1
TR8PPEN13_TR_DEC;96;[2013];1
TR8PPEN13_TR_DISP;96;[2013];1
TR8PPFAM13;96;[2013];1
TR8PPLOGT13;96;[2013];1
TR8PPMINI13;96;[2013];1
TR8PPSOC13;96;[2013];1
TR8PTSA13;96;[2013];1
TR8PTSAC13;96;[2013];1
TR9PAUT13;96;[2013];1
TR9PBEN13_TR_DEC;96;[2013];1
TR9PBEN13_TR_DISP;96;[2013];1
TR9PCHO13;96;[2013];1
TR9PIMPOT13;96;[2013];1
TR9PPAT13;96;[2013];1
TR9PPEN13_TR_DEC;96;[2013];1
TR9PPEN13_TR_DISP;96;[2013];1
TR9PPFAM13;96;[2013];1
TR9PPLOGT13;96;[2013];1
TR9PPMINI13;96;[2013];1
TR9PPSOC13;96;[2013];1
TR9PTSA13;96;[2013];1
TR9PTSAC13;96;[2013];1
D114_DEC;96;[2014];1
D114_DISP;96;[2014];1
D214_DEC;96;[2014];1
D214_DISP;96;[2014];1
D314_DEC;96;[2014];1
D314_DISP;96;[2014];1
D414_DEC;96;[2014];1
D414_DISP;96;[2014];1
D614_DEC;96;[2014];1
D614_DISP;96;[2014];1
D714_DEC;96;[2014];1
D714_DISP;96;[2014];1
D814_DEC;96;[2014];1
D814_DISP;96;[2014];1
D914_DEC;96;[2014];1
D914_DISP;96;[2014];1
GI14_DEC;96;[2014];1
GI14_DISP;96;[2014];1
NBMEN14_DEC;96;[2014];1
NBMEN14_DISP;96;[2014];1
NBPERS14_DEC;96;[2014];1
NBPERS14_DISP;96;[2014];1
NBUC14_DEC;96;[2014];1
NBUC14_DISP;96;[2014];1
PAUT14;96;[2014];1
PBEN14_DEC;96;[2014];1
PBEN14_DISP;96;[2014];1
PCHO14;96;[2014];1
PIMPOT14;96;[2014];1
PMIMP14;96;[2014];1
PPAT14;96;[2014];1
PPEN14_DEC;96;[2014];1
PPEN14_DISP;96;[2014];1
PPFAM14;96;[2014];1
PPLOGT14;96;[2014];1
PPMINI14;96;[2014];1
PPSOC14;96;[2014];1
PTSA14;96;[2014];1
PTSAC14;96;[2014];1
Q114_DEC;96;[2014];1
Q114_DISP;96;[2014];1
Q214_DEC;96;[2014];1
Q214_DISP;96;[2014];1
Q314_DEC;96;[2014];1
Q314_DISP;96;[2014];1
S80S2014_DEC;96;[2014];1
S80S2014_DISP;96;[2014];1
TP4014_PAU_DEC;96;[2014];1
TP4014_PAU_DISP;96;[2014];1
TP5014_PAU_DEC;96;[2014];1
TP5014_PAU_DISP;96;[2014];1
TP6014_PAU_DEC;96;[2014];1
TP6014_PAU_DISP;96;[2014];1
TP60IP14_PAU_DEC;96;[2014];1
TP60IP14_PAU_DISP;96;[2014];1
