dep_code;year;total_firm_creations;legal_form_sum;legal_form_diff;sector_sum;sector_diff;status
24;2019;4533;4533;0;4533;0;EXACT
24;2020;4671;4671;0;4671;0;EXACT
24;2021;5350;5350;0;5350;0;EXACT
25;2012;3554;3554;0;3554;0;EXACT
25;2013;3735;3735;0;3735;0;EXACT
25;2014;3722;3722;0;3722;0;EXACT
25;2015;3482;3482;0;3482;0;EXACT
25;2016;3808;3808;0;3808;0;EXACT
25;2017;3866;3866;0;3866;0;EXACT
25;2018;4400;4400;0;4400;0;EXACT
25;2019;4998;4998;0;4998;0;EXACT
25;2020;5518;5518;0;5518;0;EXACT
25;2021;6297;6297;0;6297;0;EXACT
26;2012;4861;4861;0;4861;0;EXACT
26;2013;4721;4721;0;4721;0;EXACT
26;2014;4976;4976;0;4976;0;EXACT
26;2015;4734;4734;0;4734;0;EXACT
26;2016;4795;4795;0;4795;0;EXACT
26;2017;4985;4985;0;4985;0;EXACT
26;2018;5424;5424;0;5424;0;EXACT
26;2019;6352;6352;0;6352;0;EXACT
26;2020;6615;6615;0;6615;0;EXACT
26;2021;7568;7568;0;7568;0;EXACT
27;2012;3875;3875;0;3875;0;EXACT
27;2013;3716;3716;0;3716;0;EXACT
27;2014;4046;4046;0;4046;0;EXACT
27;2015;3680;3680;0;3680;0;EXACT
27;2016;3936;3936;0;3936;0;EXACT
27;2017;4117;4117;0;4117;0;EXACT
27;2018;4583;4583;0;4583;0;EXACT
27;2019;5240;5240;0;5240;0;EXACT
27;2020;5516;5516;0;5516;0;EXACT
27;2021;6369;6369;0;6369;0;EXACT
28;2012;2707;2707;0;2707;0;EXACT
28;2013;2724;2724;0;2724;0;EXACT
28;2014;2842;2842;0;2842;0;EXACT
28;2015;2569;2569;0;2569;0;EXACT
28;2016;2718;2718;0;2718;0;EXACT
28;2017;2913;2913;0;2913;0;EXACT
28;2018;3207;3207;0;3207;0;EXACT
28;2019;3771;3771;0;3771;0;EXACT
28;2020;4043;4043;0;4043;0;EXACT
28;2021;4839;4839;0;4839;0;EXACT
29;2012;5412;5412;0;5412;0;EXACT
29;2013;5374;5374;0;5374;0;EXACT
29;2014;5655;5655;0;5655;0;EXACT
29;2015;5579;5579;0;5579;0;EXACT
29;2016;5520;5520;0;5520;0;EXACT
29;2017;5869;5869;0;5869;0;EXACT
29;2018;6347;6347;0;6347;0;EXACT
29;2019;7453;7453;0;7453;0;EXACT
29;2020;7504;7504;0;7504;0;EXACT
29;2021;9469;9469;0;9469;0;EXACT
2A;2012;1972;1972;0;1972;0;EXACT
2A;2013;1934;1934;0;1934;0;EXACT
2A;2014;1958;1958;0;1958;0;EXACT
2A;2015;1945;1945;0;1945;0;EXACT
2A;2016;1950;1950;0;1950;0;EXACT
2A;2017;2121;2121;0;2121;0;EXACT
2A;2018;2306;2306;0;2306;0;EXACT
2A;2019;2734;2734;0;2734;0;EXACT
2A;2020;2572;2572;0;2572;0;EXACT
2A;2021;2925;2925;0;2925;0;EXACT
2B;2012;2044;2044;0;2044;0;EXACT
2B;2013;1975;1975;0;1975;0;EXACT
2B;2014;2027;2027;0;2027;0;EXACT
2B;2015;1851;1851;0;1851;0;EXACT
2B;2016;2067;2067;0;2067;0;EXACT
2B;2017;2158;2158;0;2158;0;EXACT
2B;2018;2304;2304;0;2304;0;EXACT
2B;2019;2491;2491;0;2491;0;EXACT
2B;2020;2373;2373;0;2373;0;EXACT
2B;2021;2889;2889;0;2889;0;EXACT
30;2012;7633;7633;0;7633;0;EXACT
30;2013;7167;7167;0;7167;0;EXACT
30;2014;7377;7377;0;7377;0;EXACT
30;2015;6960;6960;0;6960;0;EXACT
30;2016;7180;7180;0;7180;0;EXACT
30;2017;7182;7182;0;7182;0;EXACT
30;2018;8089;8089;0;8089;0;EXACT
30;2019;9361;9361;0;9361;0;EXACT
30;2020;9430;9430;0;9430;0;EXACT
30;2021;11591;11591;0;11591;0;EXACT
31;2012;13031;13031;0;13031;0;EXACT
31;2013;12828;12828;0;12828;0;EXACT
31;2014;13572;13572;0;13572;0;EXACT
31;2015;12963;12963;0;12963;0;EXACT
31;2016;14202;14202;0;14202;0;EXACT
31;2017;15853;15853;0;15853;0;EXACT
31;2018;18578;18578;0;18578;0;EXACT
31;2019;22621;22621;0;22621;0;EXACT
31;2020;23446;23446;0;23446;0;EXACT
31;2021;26848;26848;0;26848;0;EXACT
32;2012;1565;1565;0;1565;0;EXACT
32;2013;1480;1480;0;1480;0;EXACT
32;2014;1621;1621;0;1621;0;EXACT
32;2015;1502;1502;0;1502;0;EXACT
32;2016;1605;1605;0;1605;0;EXACT
32;2017;1482;1482;0;1482;0;EXACT
32;2018;1707;1707;0;1707;0;EXACT
32;2019;1881;1881;0;1881;0;EXACT
32;2020;2051;2051;0;2051;0;EXACT
32;2021;2499;2499;0;2499;0;EXACT
33;2012;15991;15991;0;15991;0;EXACT
33;2013;17277;17277;0;17277;0;EXACT
33;2014;17832;17832;0;17832;0;EXACT
33;2015;17764;17764;0;17764;0;EXACT
33;2016;18839;18839;0;18839;0;EXACT
33;2017;21562;21562;0;21562;0;EXACT
33;2018;24708;24708;0;24708;0;EXACT
33;2019;27400;27400;0;27400;0;EXACT
33;2020;27263;27263;0;27263;0;EXACT
33;2021;33076;33076;0;33076;0;EXACT
34;2012;14117;14117;0;14117;0;EXACT
34;2013;13805;13805;0;13805;0;EXACT
34;2014;14107;14107;0;14107;0;EXACT
34;2015;13758;13758;0;13758;0;EXACT
34;2016;14308;14308;0;14308;0;EXACT
34;2017;15502;15502;0;15502;0;EXACT
34;2018;16754;16754;0;16754;0;EXACT
34;2019;19609;19609;0;19609;0;EXACT
34;2020;20257;20257;0;20257;0;EXACT
34;2021;24150;24150;0;24150;0;EXACT
35;2012;6902;6902;0;6902;0;EXACT
35;2013;7287;7287;0;7287;0;EXACT
35;2014;7449;7449;0;7449;0;EXACT
35;2015;7077;7077;0;7077;0;EXACT
35;2016;7673;7673;0;7673;0;EXACT
35;2017;8295;8295;0;8295;0;EXACT
35;2018;9589;9589;0;9589;0;EXACT
35;2019;11021;11021;0;11021;0;EXACT
35;2020;11513;11513;0;11513;0;EXACT
35;2021;14135;14135;0;14135;0;EXACT
36;2012;1301;1301;0;1301;0;EXACT
36;2013;1132;1132;0;1132;0;EXACT
36;2014;1264;1264;0;1264;0;EXACT
36;2015;1163;1163;0;1163;0;EXACT
36;2016;1167;1167;0;1167;0;EXACT
36;2017;1221;1221;0;1221;0;EXACT
36;2018;1294;1294;0;1294;0;EXACT
36;2019;1482;1482;0;1482;0;EXACT
36;2020;1616;1616;0;1616;0;EXACT
36;2021;1976;1976;0;1976;0;EXACT
37;2012;4380;4380;0;4380;0;EXACT
37;2013;4262;4262;0;4262;0;EXACT
37;2014;4411;4411;0;4411;0;EXACT
37;2015;4155;4155;0;4155;0;EXACT
37;2016;4310;4310;0;4310;0;EXACT
37;2017;4809;4809;0;4809;0;EXACT
37;2018;5668;5668;0;5668;0;EXACT
37;2019;6460;6460;0;6460;0;EXACT
37;2020;6706;6706;0;6706;0;EXACT
37;2021;8368;8368;0;8368;0;EXACT
38;2012;10899;10899;0;10899;0;EXACT
38;2013;11247;11247;0;11247;0;EXACT
38;2014;11620;11620;0;11620;0;EXACT
38;2015;10733;10733;0;10733;0;EXACT
38;2016;11170;11170;0;11170;0;EXACT
38;2017;12310;12310;0;12310;0;EXACT
38;2018;13916;13916;0;13916;0;EXACT
38;2019;16612;16612;0;16612;0;EXACT
38;2020;16928;16928;0;16928;0;EXACT
38;2021;19282;19282;0;19282;0;EXACT
39;2012;1860;1860;0;1860;0;EXACT
39;2013;1826;1826;0;1826;0;EXACT
39;2014;1738;1738;0;1738;0;EXACT
39;2015;1602;1602;0;1602;0;EXACT
39;2016;1695;1695;0;1695;0;EXACT
39;2017;1862;1862;0;1862;0;EXACT
39;2018;2096;2096;0;2096;0;EXACT
39;2019;2284;2284;0;2284;0;EXACT
39;2020;2422;2422;0;2422;0;EXACT
39;2021;2764;2764;0;2764;0;EXACT
40;2012;3543;3543;0;3543;0;EXACT
40;2013;3597;3597;0;3597;0;EXACT
40;2014;3724;3724;0;3724;0;EXACT
40;2015;3525;3525;0;3525;0;EXACT
40;2016;3762;3762;0;3762;0;EXACT
40;2017;3896;3896;0;3896;0;EXACT
40;2018;4337;4337;0;4337;0;EXACT
40;2019;5318;5318;0;5318;0;EXACT
40;2020;5263;5263;0;5263;0;EXACT
40;2021;6257;6257;0;6257;0;EXACT
41;2012;2109;2109;0;2109;0;EXACT
41;2013;2065;2065;0;2065;0;EXACT
41;2014;2024;2024;0;2024;0;EXACT
41;2015;2100;2100;0;2100;0;EXACT
41;2016;2151;2151;0;2151;0;EXACT
41;2017;2211;2211;0;2211;0;EXACT
41;2018;2393;2393;0;2393;0;EXACT
41;2019;2793;2793;0;2793;0;EXACT
41;2020;2949;2949;0;2949;0;EXACT
41;2021;3356;3356;0;3356;0;EXACT
42;2012;5534;5534;0;5534;0;EXACT
42;2013;5547;5547;0;5547;0;EXACT
42;2014;5691;5691;0;5691;0;EXACT
42;2015;5342;5342;0;5342;0;EXACT
42;2016;5481;5481;0;5481;0;EXACT
42;2017;5956;5956;0;5956;0;EXACT
42;2018;6733;6733;0;6733;0;EXACT
42;2019;8234;8234;0;8234;0;EXACT
42;2020;8932;8932;0;8932;0;EXACT
42;2021;10161;10161;0;10161;0;EXACT
43;2012;1399;1399;0;1399;0;EXACT
43;2013;1471;1471;0;1471;0;EXACT
43;2014;1417;1417;0;1417;0;EXACT
43;2015;1374;1374;0;1374;0;EXACT
43;2016;1296;1296;0;1296;0;EXACT
43;2017;1451;1451;0;1451;0;EXACT
43;2018;1561;1561;0;1561;0;EXACT
43;2019;1794;1794;0;1794;0;EXACT
43;2020;1928;1928;0;1928;0;EXACT
43;2021;2309;2309;0;2309;0;EXACT
44;2012;10855;10855;0;10855;0;EXACT
44;2013;10584;10584;0;10584;0;EXACT
44;2014;11485;11485;0;11485;0;EXACT
44;2015;11097;11097;0;11097;0;EXACT
44;2016;11862;11862;0;11862;0;EXACT
44;2017;13097;13097;0;13097;0;EXACT
44;2018;13958;13958;0;13958;0;EXACT
44;2019;16555;16555;0;16555;0;EXACT
44;2020;17159;17159;0;17159;0;EXACT
44;2021;21105;21105;0;21105;0;EXACT
45;2012;4434;4434;0;4434;0;EXACT
45;2013;4609;4609;0;4609;0;EXACT
45;2014;4608;4608;0;4608;0;EXACT
45;2015;4440;4440;0;4440;0;EXACT
45;2016;4600;4600;0;4600;0;EXACT
45;2017;4749;4749;0;4749;0;EXACT
45;2018;5699;5699;0;5699;0;EXACT
45;2019;6369;6369;0;6369;0;EXACT
45;2020;6723;6723;0;6723;0;EXACT
45;2021;8123;8123;0;8123;0;EXACT
46;2012;1402;1402;0;1402;0;EXACT
46;2013;1338;1338;0;1338;0;EXACT
46;2014;1433;1433;0;1433;0;EXACT
46;2015;1285;1285;0;1285;0;EXACT
46;2016;1345;1345;0;1345;0;EXACT
46;2017;1333;1333;0;1333;0;EXACT
46;2018;1543;1543;0;1543;0;EXACT
46;2019;1707;1707;0;1707;0;EXACT
46;2020;1811;1811;0;1811;0;EXACT
46;2021;2115;2115;0;2115;0;EXACT
47;2012;2463;2463;0;2463;0;EXACT
47;2013;2530;2530;0;2530;0;EXACT
47;2014;2421;2421;0;2421;0;EXACT
47;2015;2279;2279;0;2279;0;EXACT
47;2016;2386;2386;0;2386;0;EXACT
47;2017;2543;2543;0;2543;0;EXACT
47;2018;2755;2755;0;2755;0;EXACT
47;2019;3275;3275;0;3275;0;EXACT
47;2020;3390;3390;0;3390;0;EXACT
47;2021;4044;4044;0;4044;0;EXACT
48;2012;504;504;0;504;0;EXACT
48;2013;446;446;0;446;0;EXACT
48;2014;522;522;0;522;0;EXACT
48;2015;460;460;0;460;0;EXACT
48;2016;413;413;0;413;0;EXACT
48;2017;486;486;0;486;0;EXACT
48;2018;494;494;0;494;0;EXACT
48;2019;519;519;0;519;0;EXACT
48;2020;579;579;0;579;0;EXACT
48;2021;777;777;0;777;0;EXACT
49;2012;4998;4998;0;4998;0;EXACT
49;2013;5013;5013;0;5013;0;EXACT
49;2014;5154;5154;0;5154;0;EXACT
49;2015;5067;5067;0;5067;0;EXACT
49;2016;5011;5011;0;5011;0;EXACT
49;2017;5438;5438;0;5438;0;EXACT
49;2018;6267;6267;0;6267;0;EXACT
49;2019;7376;7376;0;7376;0;EXACT
49;2020;7608;7608;0;7608;0;EXACT
49;2021;9480;9480;0;9480;0;EXACT
50;2012;2561;2561;0;2561;0;EXACT
50;2013;2443;2443;0;2443;0;EXACT
50;2014;2609;2609;0;2609;0;EXACT
50;2015;2400;2400;0;2400;0;EXACT
50;2016;2596;2596;0;2596;0;EXACT
50;2017;2690;2690;0;2690;0;EXACT
50;2018;2950;2950;0;2950;0;EXACT
50;2019;3448;3448;0;3448;0;EXACT
50;2020;3676;3676;0;3676;0;EXACT
50;2021;4248;4248;0;4248;0;EXACT
51;2012;3576;3576;0;3576;0;EXACT
51;2013;3691;3691;0;3691;0;EXACT
51;2014;3731;3731;0;3731;0;EXACT
51;2015;3311;3311;0;3311;0;EXACT
51;2016;3595;3595;0;3595;0;EXACT
51;2017;4221;4221;0;4221;0;EXACT
51;2018;4792;4792;0;4792;0;EXACT
51;2019;5425;5425;0;5425;0;EXACT
51;2020;5893;5893;0;5893;0;EXACT
51;2021;7754;7754;0;7754;0;EXACT
52;2012;904;904;0;904;0;EXACT
52;2013;970;970;0;970;0;EXACT
52;2014;895;895;0;895;0;EXACT
52;2015;743;743;0;743;0;EXACT
52;2016;851;851;0;851;0;EXACT
52;2017;880;880;0;880;0;EXACT
52;2018;985;985;0;985;0;EXACT
52;2019;1115;1115;0;1115;0;EXACT
52;2020;1228;1228;0;1228;0;EXACT
52;2021;1497;1497;0;1497;0;EXACT
53;2012;1518;1518;0;1518;0;EXACT
53;2013;1536;1536;0;1536;0;EXACT
53;2014;1652;1652;0;1652;0;EXACT
53;2015;1551;1551;0;1551;0;EXACT
53;2016;1633;1633;0;1633;0;EXACT
53;2017;1857;1857;0;1857;0;EXACT
53;2018;1893;1893;0;1893;0;EXACT
53;2019;2255;2255;0;2255;0;EXACT
53;2020;2754;2754;0;2754;0;EXACT
53;2021;3039;3039;0;3039;0;EXACT
54;2012;4483;4483;0;4483;0;EXACT
54;2013;4483;4483;0;4483;0;EXACT
54;2014;4785;4785;0;4785;0;EXACT
54;2015;4508;4508;0;4508;0;EXACT
54;2016;4497;4497;0;4497;0;EXACT
54;2017;4644;4644;0;4644;0;EXACT
54;2018;5602;5602;0;5602;0;EXACT
54;2019;6461;6461;0;6461;0;EXACT
54;2020;7123;7123;0;7123;0;EXACT
54;2021;8160;8160;0;8160;0;EXACT
55;2012;1057;1057;0;1057;0;EXACT
55;2013;1006;1006;0;1006;0;EXACT
55;2014;948;948;0;948;0;EXACT
55;2015;884;884;0;884;0;EXACT
55;2016;900;900;0;900;0;EXACT
55;2017;882;882;0;882;0;EXACT
55;2018;1120;1120;0;1120;0;EXACT
55;2019;1154;1154;0;1154;0;EXACT
55;2020;1190;1190;0;1190;0;EXACT
55;2021;1444;1444;0;1444;0;EXACT
56;2012;5308;5308;0;5308;0;EXACT
56;2013;5236;5236;0;5236;0;EXACT
56;2014;5369;5369;0;5369;0;EXACT
56;2015;5177;5177;0;5177;0;EXACT
56;2016;5332;5332;0;5332;0;EXACT
56;2017;5594;5594;0;5594;0;EXACT
56;2018;6341;6341;0;6341;0;EXACT
56;2019;7118;7118;0;7118;0;EXACT
56;2020;7040;7040;0;7040;0;EXACT
56;2021;8554;8554;0;8554;0;EXACT
57;2012;6695;6695;0;6695;0;EXACT
57;2013;6838;6838;0;6838;0;EXACT
57;2014;6768;6768;0;6768;0;EXACT
57;2015;6166;6166;0;6166;0;EXACT
57;2016;6294;6294;0;6294;0;EXACT
57;2017;6643;6643;0;6643;0;EXACT
57;2018;7269;7269;0;7269;0;EXACT
57;2019;8328;8328;0;8328;0;EXACT
57;2020;8993;8993;0;8993;0;EXACT
57;2021;11255;11255;0;11255;0;EXACT
58;2012;1173;1173;0;1173;0;EXACT
58;2013;1150;1150;0;1150;0;EXACT
58;2014;1184;1184;0;1184;0;EXACT
58;2015;1105;1105;0;1105;0;EXACT
58;2016;1128;1128;0;1128;0;EXACT
58;2017;1202;1202;0;1202;0;EXACT
58;2018;1285;1285;0;1285;0;EXACT
58;2019;1457;1457;0;1457;0;EXACT
58;2020;1506;1506;0;1506;0;EXACT
58;2021;1826;1826;0;1826;0;EXACT
59;2012;16592;16592;0;16592;0;EXACT
59;2013;16631;16631;0;16631;0;EXACT
59;2014;17115;17115;0;17115;0;EXACT
59;2015;16439;16439;0;16439;0;EXACT
59;2016;18031;18031;0;18031;0;EXACT
59;2017;19327;19327;0;19327;0;EXACT
59;2018;22256;22256;0;22256;0;EXACT
59;2019;27186;27186;0;27186;0;EXACT
59;2020;29078;29078;0;29078;0;EXACT
59;2021;34288;34288;0;34288;0;EXACT
60;2012;5324;5324;0;5324;0;EXACT
60;2013;5261;5261;0;5261;0;EXACT
60;2014;5476;5476;0;5476;0;EXACT
60;2015;5276;5276;0;5276;0;EXACT
60;2016;5490;5490;0;5490;0;EXACT
60;2017;5875;5875;0;5875;0;EXACT
60;2018;6525;6525;0;6525;0;EXACT
