dep_code;year;total_firm_creations;creations_individual;creations_sarl;creations_sas;creations_other_legal;creations_sector_industry;creations_sector_construction;creations_sector_trade;creations_sector_services
16;2016;2184;1661;274;209;40;146;270;497;1271
16;2017;2512;1929;263;263;57;166;273;608;1465
16;2018;2777;2238;245;246;48;176;296;720;1585
16;2019;3181;2546;298;285;52;200;305;736;1940
16;2020;3470;2824;243;354;49;254;326;864;2026
16;2021;3939;3081;297;498;63;260;362;799;2518
17;2012;5902;4543;1153;128;78;335;869;1339;3359
17;2013;5780;4342;1019;312;107;338;852;1353;3237
17;2014;5865;4434;964;376;91;400;782;1284;3399
17;2015;5635;4319;774;449;93;330;660;1298;3347
17;2016;5589;4095;756;639;99;356;643;1365;3225
17;2017;6158;4591;764;691;112;356;709;1560;3533
17;2018;6923;5377;762;672;112;354;763;1696;4110
17;2019;7893;6278;716;771;128;452;843;1660;4938
17;2020;8138;6462;686;885;105;492;959;1871;4816
17;2021;9465;7396;842;1108;119;575;1088;1753;6049
18;2012;1789;1426;278;56;29;130;297;422;940
18;2013;1752;1369;264;82;37;130;250;475;897
18;2014;1828;1468;212;110;38;138;315;439;936
18;2015;1627;1237;204;155;31;111;206;399;911
18;2016;1618;1234;187;162;35;100;179;473;866
18;2017;1648;1237;175;210;26;138;199;479;832
18;2018;1813;1426;166;188;33;121;189;556;947
18;2019;2182;1691;196;263;32;160;216;583;1223
18;2020;2503;2045;151;276;31;191;268;733;1311
18;2021;3118;2525;229;329;35;287;266;677;1888
19;2012;1575;1236;259;53;27;101;276;341;857
19;2013;1584;1236;182;127;39;127;254;349;854
19;2014;1557;1200;176;147;34;119;216;351;871
19;2015;1475;1133;172;146;24;129;190;312;844
19;2016;1444;1056;140;221;27;110;133;324;877
19;2017;1643;1237;163;220;23;101;185;387;970
19;2018;1825;1412;142;235;36;123;164;418;1120
19;2019;2077;1618;151;264;44;160;247;476;1194
19;2020;2115;1676;131;271;37;199;236;448;1232
19;2021;2624;2046;187;371;20;253;269;533;1569
21;2012;3895;2876;786;124;109;179;577;913;2226
21;2013;3890;2853;683;220;134;226;473;1045;2146
21;2014;4137;3138;622;275;102;220;498;1130;2289
21;2015;3954;2941;599;310;104;202;378;1160;2214
21;2016;3947;2823;559;454;111;172;396;1158;2221
21;2017;4423;3298;506;509;110;170;408;1235;2610
21;2018;5039;3872;531;518;118;213;470;1230;3126
21;2019;5946;4635;556;654;101;285;554;1326;3781
21;2020;6256;4978;450;711;117;290;555;1482;3929
21;2021;7141;5514;622;880;125;454;646;1293;4748
22;2012;3760;2813;750;76;121;267;550;821;2122
22;2013;3601;2770;610;106;115;237;472;833;2059
22;2014;3755;2862;569;169;155;268;534;794;2159
22;2015;3734;2751;605;217;161;217;448;840;2229
22;2016;3673;2642;590;275;166;251;438;884;2100
22;2017;3963;2809;616;347;191;252;435;977;2299
22;2018;4400;3279;640;292;189;260;484;1100;2556
22;2019;4808;3524;705;376;203;336;571;1005;2896
22;2020;4745;3451;666;444;184;339;477;1097;2832
22;2021;6032;4381;843;576;232;475;679;1106;3772
